redshift,name
,4FGL_J0000.3-7355
,4FGL_J0000.5+0743
1.106,4FGL_J0000.7+2530
,4FGL_J0001.2+4741
,4FGL_J0001.2-0747
,4FGL_J0001.4-0010
0.09983,4FGL_J0001.5+2113
,4FGL_J0001.6+3503
,4FGL_J0001.6-4156
1.30999,4FGL_J0001.8-2153
2.057129,4FGL_J0002.1-6728
0.88,4FGL_J0002.1+6721c
0.229,4FGL_J0002.3-0815
0.347,4FGL_J0002.4-5156
0.787,4FGL_J0002.7+7220
,4FGL_J0002.8+6217
0.28,4FGL_J0003.1-5248
,4FGL_J0003.2+2207
0.147,4FGL_J0003.3+2511
,4FGL_J0003.3-1928
1.562629,4FGL_J0003.3-5905
,4FGL_J0003.5+0717
0.025,4FGL_J0003.6+3059
0.56,4FGL_J0003.9-1149
0.6,4FGL_J0004.0+5715
1.19,4FGL_J0004.0+0840
,4FGL_J0004.3+4614
1.492,4FGL_J0004.4-4737
,4FGL_J0004.4-4001
,4FGL_J0005.6+6746c
0.2555,4FGL_J0005.9+3824
1.075,4FGL_J0006.3-1813
0.094846,4FGL_J0006.3-0620
0.477,4FGL_J0006.4+0135
0.01,4FGL_J0006.4-5621
0.163,4FGL_J0006.6+4618
0.791,4FGL_J0007.0+7303
,4FGL_J0007.4-0322
0.57,4FGL_J0007.7+4008
,4FGL_J0008.0+4711
1.57631,4FGL_J0008.0-3937
1.709,4FGL_J0008.4+6926
,4FGL_J0008.4-2339
0.227,4FGL_J0008.4+1455
0.302712,4FGL_J0008.9+2509
0.1,4FGL_J0009.1-5012
,4FGL_J0009.1+0628
,4FGL_J0009.2+6847
1.781,4FGL_J0009.2+1745
,4FGL_J0009.3+5030
,4FGL_J0009.7-1418
,4FGL_J0009.7-3217
0.648,4FGL_J0009.8-4317
0.25,4FGL_J0009.8+1340
0.306,4FGL_J0009.8-6358
,4FGL_J0009.9+2810
,4FGL_J0010.1+1631
,4FGL_J0010.2-2431
1.062,4FGL_J0010.6+2043
,4FGL_J0010.6-3025
,4FGL_J0010.8-2154
0.545,4FGL_J0011.4-4110
0.834,4FGL_J0011.4+0057
,4FGL_J0011.8-3142
,4FGL_J0012.0+7043
,4FGL_J0013.0+3355
1.553,4FGL_J0013.1-3955
,4FGL_J0013.4+0950
,4FGL_J0013.6+4051
,4FGL_J0013.6-0424
0.237,4FGL_J0013.9-1854
0.495,4FGL_J0014.1+1910
1.804,4FGL_J0014.1-5022
,4FGL_J0014.2+0854
,4FGL_J0014.3-0500
0.323888,4FGL_J0014.7+5801
0.61,4FGL_J0014.8+6118
,4FGL_J0014.9+3212
,4FGL_J0015.2+3537
,4FGL_J0015.6+5551
1.09026,4FGL_J0015.9+2440
1.595,4FGL_J0016.2-0016
0.366,4FGL_J0016.5+1702
0.089,4FGL_J0017.0-0649
0.1477,4FGL_J0017.1-4605
0.7395,4FGL_J0017.4+6506
1.196,4FGL_J0017.5-0514
0.2204,4FGL_J0017.8+1455
2.1015,4FGL_J0018.4+2946
0.0615,4FGL_J0018.8+5112
,4FGL_J0018.8+2611
,4FGL_J0019.2-5640
0.213,4FGL_J0019.3-8152
,4FGL_J0019.6+7327
